event_id,user_id,event_type,product_id,event_time
E1,U1,login,P4,2023-11-11
E2,U1,login,P1,2023-12-04
E3,U1,login,P9,2023-06-04
E4,U2,login,P0,2023-01-16
E5,U2,login,P1,2023-09-03
E6,U3,login,P7,2023-12-18
E7,U3,login,P2,2023-09-09
E8,U4,login,P8,2023-02-07
E9,U4,login,P2,2023-06-14
E10,U4,login,P10,2023-03-17
E11,U5,login,P3,2023-05-21
E12,U6,login,P0,2023-10-27
E13,U6,login,P9,2023-12-31
E14,U6,login,P6,2023-07-15
E15,U7,login,P9,2023-05-31
E16,U7,login,P8,2023-09-16
E17,U7,login,P10,2023-08-09
E18,U8,login,P2,2023-12-02
E19,U9,login,P9,2023-04-21
E20,U9,login,P7,2023-08-20
E21,U9,login,P4,2023-07-31
E22,U10,login,P8,2023-07-24
E23,U10,login,P7,2023-02-18
E24,U11,login,P7,2023-06-10
E25,U11,login,P0,2023-05-11
E26,U12,login,P3,2023-12-18
E27,U12,login,P8,2023-02-04
E28,U13,login,P2,2023-02-17
E29,U14,login,P2,2023-07-10
E30,U14,login,P3,2023-10-12
E31,U15,login,P10,2023-10-15
E32,U16,login,P6,2023-12-10
E33,U16,login,P2,2023-07-30
E34,U16,login,P6,2023-12-07
E35,U17,login,P1,2023-05-28
E36,U17,login,P10,2023-06-09
E37,U18,login,P2,2023-10-23
E38,U18,login,P9,2023-04-19
E39,U19,login,P0,2023-09-04
E40,U20,login,P2,2023-06-29
E41,U21,login,P6,2023-02-28
E42,U21,login,P5,2023-10-21
E43,U21,login,P4,2023-08-08
E44,U22,login,P10,2023-11-11
E45,U22,login,P0,2023-11-26
E46,U22,login,P9,2023-01-14
E47,U23,login,P0,2023-12-22
E48,U23,login,P5,2023-01-15
E49,U23,login,P3,2023-05-20
E50,U24,login,P5,2023-06-23
E51,U24,login,P6,2023-01-04
E52,U24,login,P3,2023-03-15
E53,U25,login,P0,2023-07-25
E54,U25,login,P2,2023-03-14
E55,U25,login,P0,2023-01-16
E56,U26,login,P9,2023-04-21
E57,U27,login,P7,2023-08-21
E58,U27,login,P6,2023-03-22
E59,U28,login,P5,2023-06-16
E60,U28,login,P10,2023-11-02
E61,U29,login,P1,2023-03-21
E62,U30,login,P10,2023-01-26
E63,U31,login,P2,2023-05-20
E64,U31,login,P8,2023-12-05
E65,U31,login,P7,2023-09-06
E66,U32,login,P8,2023-08-01
E67,U32,login,P5,2023-04-21
E68,U32,login,P9,2023-02-28
E69,U33,login,P7,2023-02-26
E70,U33,login,P5,2023-12-14
E71,U34,login,P10,2023-09-07
E72,U34,login,P9,2023-12-08
E73,U34,login,P5,2023-01-24
E74,U35,login,P7,2023-11-03
E75,U36,login,P1,2023-04-15
E76,U37,login,P4,2023-03-12
E77,U37,login,P5,2023-05-29
E78,U38,login,P2,2023-01-04
E79,U38,login,P8,2023-08-09
E80,U39,login,P3,2023-07-14
E81,U40,login,P4,2023-09-14
E82,U40,login,P9,2023-12-09
E83,U40,login,P6,2023-02-06
E84,U41,login,P1,2023-08-12
E85,U41,login,P1,2023-08-24
E86,U42,login,P6,2023-10-22
E87,U43,login,P10,2023-07-27
E88,U43,login,P0,2023-08-02
E89,U44,login,P2,2023-07-27
E90,U44,login,P1,2023-06-16
E91,U45,login,P10,2023-08-24
E92,U46,login,P6,2023-02-15
E93,U46,login,P7,2023-02-24
E94,U46,login,P4,2023-08-12
E95,U47,login,P7,2023-09-26
E96,U47,login,P2,2023-07-22
E97,U47,login,P5,2023-06-23
E98,U48,login,P6,2023-03-28
E99,U49,login,P9,2023-11-21
E100,U50,login,P9,2023-09-19
E101,U51,login,P6,2023-06-29
E102,U52,login,P0,2023-03-17
E103,U52,login,P4,2023-02-22
E104,U52,login,P3,2023-05-12
E105,U53,login,P3,2023-11-05
E106,U54,login,P0,2023-02-08
E107,U55,login,P0,2023-09-10
E108,U56,login,P10,2023-10-24
E109,U56,login,P8,2023-12-15
E110,U57,login,P0,2023-11-22
E111,U57,login,P10,2023-06-15
E112,U57,login,P0,2023-06-11
E113,U58,login,P8,2023-02-04
E114,U59,login,P8,2023-11-20
E115,U59,login,P5,2023-05-21
E116,U60,login,P1,2023-06-30
E117,U60,login,P9,2023-02-07
E118,U60,login,P5,2023-08-25
E119,U61,login,P1,2023-01-30
E120,U61,login,P6,2023-05-27
E121,U62,login,P0,2023-02-16
E122,U63,login,P10,2023-09-17
E123,U63,login,P7,2023-08-25
E124,U63,login,P10,2023-10-11
E125,U64,login,P1,2023-08-19
E126,U64,login,P10,2023-11-30
E127,U64,login,P4,2023-06-14
E128,U65,login,P8,2023-09-14
E129,U65,login,P3,2023-02-01
E130,U65,login,P8,2023-02-22
E131,U66,login,P2,2023-09-16
E132,U66,login,P0,2023-03-30
E133,U67,login,P4,2023-12-29
E134,U68,login,P8,2023-09-26
E135,U68,login,P9,2023-11-09
E136,U69,login,P6,2023-07-10
E137,U70,login,P7,2023-07-29
E138,U70,login,P6,2023-12-14
E139,U71,login,P1,2023-11-20
E140,U71,login,P0,2023-06-21
E141,U71,login,P2,2023-06-18
E142,U72,login,P9,2023-12-14
E143,U73,login,P5,2023-05-10
E144,U73,login,P0,2023-11-05
E145,U74,login,P6,2023-02-11
E146,U75,login,P0,2023-03-14
E147,U75,login,P6,2023-06-08
E148,U75,login,P0,2023-12-24
E149,U76,login,P7,2023-03-08
E150,U76,login,P10,2023-12-29
E151,U76,login,P2,2023-06-08
E152,U77,login,P7,2023-11-26
E153,U77,login,P6,2023-03-07
E154,U77,login,P0,2023-12-26
E155,U78,login,P0,2023-09-27
E156,U78,login,P2,2023-11-27
E157,U78,login,P0,2023-08-05
E158,U79,login,P6,2023-01-10
E159,U79,login,P6,2023-06-08
E160,U79,login,P3,2023-04-20
E161,U80,login,P8,2023-04-09
E162,U80,login,P4,2023-03-12
E163,U81,login,P2,2023-06-01
E164,U82,login,P9,2023-10-04
E165,U83,login,P9,2023-01-20
E166,U83,login,P0,2023-06-22
E167,U83,login,P10,2023-03-09
