transaction_id,transaction_id_num,user_id,user_id_num,product_id,amount,payment_method,status,event_time
T1,1,U745,745,P2,10,debit card,success,2023-11-01
T2,2,U422,422,P3,25,net banking,success,2023-08-08
T4,4,U397,397,P2,10,credit card,pending,2023-03-15
T5,5,U625,625,P4,60,debit card,success,2023-03-25
T6,6,U105,105,P0,0,net banking,success,2023-03-18
T7,7,U560,560,P4,60,no payment,success,2023-08-11
T8,8,U726,726,P10,18,net banking,success,2023-04-08
T9,9,U449,449,P10,18,upi,success,2023-07-20
T11,11,U505,505,P10,18,debit card,success,2023-06-07
T12,12,U621,621,P3,25,no payment,success,2023-02-08
T13,13,U408,408,P10,18,no payment,success,2023-05-01
T14,14,U277,277,P5,15,upi,success,2023-04-27
T15,15,U228,228,P8,30,debit card,failed,2023-08-19
T16,16,U436,436,P9,0,upi,success,2023-11-01
T17,17,U499,499,P5,15,upi,success,2023-05-16
T18,18,U491,491,P4,60,upi,success,2023-09-18
T19,19,U442,442,P2,10,net banking,success,2023-07-02
T20,20,U520,520,P0,0,credit card,success,2023-08-21
T21,21,U648,648,P9,0,net banking,success,2023-08-19
T22,22,U463,463,P3,25,debit card,failed,2023-02-20
T23,23,U378,378,P8,30,upi,success,2023-05-12
T24,24,U676,676,P6,12,upi,success,2023-05-23
T25,25,U374,374,P5,15,credit card,success,2023-01-19
T26,26,U351,351,P1,0,no payment,success,2023-09-14
T27,27,U226,226,P6,12,upi,success,2023-09-20
T28,28,U631,631,P5,15,net banking,success,2023-07-16
T29,29,U780,780,P2,10,upi,success,2023-02-06
T30,30,U397,397,P5,15,debit card,success,2023-12-16
T31,31,U345,345,P2,10,credit card,success,2023-03-28
T32,32,U534,534,P1,0,no payment,success,2023-08-03
T33,33,U770,770,P9,0,debit card,success,2023-07-08
T34,34,U683,683,P6,12,net banking,failed,2023-09-26
T35,35,U703,703,P10,18,debit card,success,2023-12-26
T36,36,U19,19,P6,12,upi,success,2023-04-11
T37,37,U473,473,P1,0,credit card,success,2023-03-01
T38,38,U302,302,P0,0,upi,success,2023-07-24
T39,39,U231,231,P4,60,credit card,success,2023-02-27
T40,40,U66,66,P9,0,net banking,success,2023-08-20
T41,41,U500,500,P10,18,debit card,success,2023-03-30
T42,42,U70,70,P3,25,credit card,success,2023-05-23
T43,43,U20,20,P9,0,debit card,failed,2023-11-18
T44,44,U119,119,P1,0,credit card,success,2023-04-10
T45,45,U583,583,P0,0,upi,success,2023-05-14
T46,46,U516,516,P4,60,credit card,success,2023-02-12
T47,47,U221,221,P4,60,credit card,success,2023-07-06
T48,48,U728,728,P2,10,no payment,failed,2023-09-22
T49,49,U741,741,P7,20,net banking,success,2023-06-11
T50,50,U670,670,P2,10,upi,success,2023-07-12
T51,51,U594,594,P0,0,upi,success,2023-08-23
T52,52,U60,60,P1,0,debit card,success,2023-04-13
T53,53,U57,57,P4,60,credit card,failed,2023-03-27
T54,54,U406,406,P6,12,credit card,success,2023-06-06
T56,56,U763,763,P3,25,upi,failed,2023-05-29
T57,57,U401,401,P7,20,no payment,success,2023-08-11
T58,58,U660,660,P6,12,debit card,success,2023-08-31
T59,59,U47,47,P7,20,credit card,success,2023-09-22
T60,60,U399,399,P1,0,no payment,success,2023-02-02
T61,61,U124,124,P2,10,net banking,success,2023-12-05
T62,62,U75,75,P5,15,upi,success,2023-08-15
T63,63,U625,625,P3,25,net banking,failed,2023-09-04
T64,64,U630,630,P1,0,upi,success,2023-04-18
T65,65,U582,582,P8,30,debit card,success,2023-03-14
T66,66,U295,295,P0,0,net banking,success,2023-06-27
T67,67,U792,792,P0,0,debit card,success,2023-06-26
T68,68,U188,188,P5,15,debit card,success,2023-08-25
T69,69,U543,543,P1,0,debit card,success,2023-07-09
T70,70,U414,414,P7,20,net banking,success,2023-09-01
T71,71,U182,182,P3,25,net banking,success,2023-07-05
T72,72,U477,477,P6,12,net banking,success,2023-10-05
T73,73,U696,696,P10,18,credit card,success,2023-03-07
T74,74,U250,250,P0,0,debit card,success,2023-08-12
T75,75,U690,690,P6,12,credit card,success,2023-11-01
T76,76,U655,655,P2,10,upi,success,2023-11-30
T77,77,U666,666,P9,0,no payment,success,2023-04-17
T79,79,U165,165,P0,0,upi,success,2023-10-04
T80,80,U131,131,P2,10,debit card,success,2023-06-15
T81,81,U289,289,P10,18,debit card,success,2023-09-03
T82,82,U664,664,P5,15,credit card,success,2023-05-29
T83,83,U573,573,P8,30,net banking,success,2023-04-26
T84,84,U573,573,P6,12,net banking,pending,2023-04-22
T85,85,U43,43,P0,0,upi,success,2023-11-07
T86,86,U529,529,P4,60,upi,success,2023-12-14
T87,87,U610,610,P1,0,upi,success,2023-09-21
T88,88,U435,435,P8,30,no payment,failed,2023-05-23
T89,89,U588,588,P8,30,no payment,success,2023-07-06
T90,90,U571,571,P3,25,debit card,success,2023-11-22
T91,91,U611,611,P8,30,debit card,success,2023-12-26
T92,92,U561,561,P8,30,debit card,success,2023-11-26
T93,93,U391,391,P10,18,net banking,success,2023-03-17
T94,94,U277,277,P3,25,debit card,success,2023-04-15
T95,95,U214,214,P6,12,credit card,success,2023-08-12
T96,96,U655,655,P3,25,upi,success,2023-11-03
T97,97,U79,79,P10,18,net banking,success,2023-03-30
T98,98,U447,447,P4,60,no payment,success,2023-11-29
T99,99,U254,254,P0,0,upi,success,2023-11-09
T100,100,U97,97,P5,15,debit card,success,2023-02-05
T101,101,U436,436,P8,30,no payment,failed,2023-09-25
T102,102,U178,178,P3,25,no payment,success,2023-02-01
T103,103,U554,554,P6,12,no payment,success,2023-08-31
T105,105,U268,268,P3,25,net banking,success,2023-12-03
T106,106,U520,520,P5,15,upi,success,2023-02-08
T107,107,U688,688,P4,60,credit card,success,2023-06-01
T108,108,U260,260,P6,12,debit card,success,2023-08-16
T109,109,U649,649,P4,60,net banking,success,2023-03-22
T110,110,U524,524,P5,15,net banking,success,2023-11-07
T111,111,U96,96,P9,0,debit card,success,2023-04-05
T112,112,U269,269,P10,18,credit card,success,2023-08-17
T113,113,U260,260,P7,20,no payment,success,2023-08-24
T114,114,U640,640,P10,18,debit card,pending,2023-08-12
T115,115,U645,645,P2,10,no payment,success,2023-05-26
T116,116,U646,646,P5,15,debit card,failed,2024-01-01
T117,117,U364,364,P0,0,upi,success,2023-06-14
T118,118,U226,226,P0,0,credit card,success,2023-05-20
T120,120,U279,279,P2,10,debit card,success,2023-12-20
