event_id,user_id,event_type,product_id,event_time
E1,U227,login,P6,2023-04-18
E2,U745,purchase,P2,2023-11-01
E3,U733,view,P9,2023-10-10
E4,U436,add_to_cart,P2,2023-04-10
E5,U422,purchase,P3,2023-08-08
E6,U554,login,P6,2023-03-17
E7,U21,view,P2,2023-07-25
E8,U554,purchase,unknown,2023-07-18
E9,U397,purchase,P2,2023-03-15
E10,U625,purchase,P4,2023-03-25
E11,U105,purchase,unknown,2023-03-18
E12,U192,add_to_cart,unknown,2023-04-21
E13,U17,login,P3,2023-12-12
E14,U120,login,P5,2023-07-28
E15,U393,view,P6,2023-09-28
E16,U425,click,P7,2023-06-04
E17,U129,add_to_cart,P10,2023-05-10
E18,U130,view,P8,2023-11-10
E19,U572,view,P9,2023-07-16
E20,U560,purchase,P4,2023-08-11
E21,U29,click,P4,2023-01-13
E22,U97,click,P7,2023-09-02
E23,U10,add_to_cart,P10,2023-11-09
E24,U242,click,P10,2023-07-23
E25,U232,view,unknown,2023-10-13
E26,U789,click,P9,2023-09-09
E27,U284,click,unknown,2023-01-01
E28,U715,login,P2,2023-04-20
E29,U759,view,unknown,2023-03-05
E30,U491,click,P6,2023-06-18
E31,U776,click,P10,2023-03-29
E32,U726,purchase,P10,2023-04-08
E33,U200,click,P8,2023-07-26
E34,U79,click,P5,2023-02-12
E35,U173,login,P5,2023-04-08
E36,U467,view,P8,2023-03-07
E37,U581,add_to_cart,P1,2023-02-18
E38,U416,view,P6,2023-05-13
E39,U449,purchase,P10,2023-07-20
E40,U87,view,P9,2023-07-13
E41,U101,click,P6,2023-03-05
E42,U8,purchase,unknown,2023-12-14
E43,U200,view,P4,2023-04-10
E44,U505,purchase,P10,2023-06-07
E45,U87,add_to_cart,P1,2023-05-08
E46,U43,view,P9,2023-07-02
E47,U385,click,P6,2023-11-11
E48,U621,purchase,P3,2023-02-08
E49,U435,login,P4,2023-04-28
E50,U408,purchase,P10,2023-05-01
E51,U483,login,P6,2023-06-19
E52,U664,click,P6,2023-03-05
E53,U17,add_to_cart,P9,2023-07-25
E54,U645,login,P4,2023-06-01
E55,U148,add_to_cart,P5,2023-06-30
E56,U277,purchase,P5,2023-04-27
E57,U232,click,P3,2023-11-20
E58,U366,login,P2,2023-04-27
E59,U228,purchase,P8,2023-08-19
E60,U651,view,P10,2023-12-29
E61,U436,purchase,P9,2023-11-01
E62,U399,add_to_cart,P10,2023-01-30
E63,U211,click,unknown,2023-04-15
E64,U391,click,P9,2023-09-15
E65,U499,purchase,P5,2023-05-16
E66,U540,view,unknown,2023-06-11
E67,U563,add_to_cart,P9,2023-12-24
E68,U491,purchase,P4,2023-09-18
E69,U442,purchase,P2,2023-07-02
E70,U261,click,P3,2023-02-11
E71,U773,add_to_cart,P1,2023-12-21
E72,U350,view,P5,2023-03-20
E73,U352,click,P1,2023-01-17
E74,U520,purchase,unknown,2023-08-21
E75,U320,click,P1,2023-02-13
E76,U138,click,unknown,2023-02-04
E77,U550,login,unknown,2023-04-17
E78,U623,click,P7,2023-09-01
E79,U368,click,P2,2023-07-18
E80,U220,add_to_cart,P8,2023-10-07
E81,U337,click,P6,2023-07-12
E82,U223,view,P4,2023-03-27
E83,U648,purchase,P9,2023-08-19
E84,U768,add_to_cart,P10,2023-11-09
E85,U360,click,P8,2023-12-31
E86,U329,view,P10,2023-12-13
E87,U463,purchase,P3,2023-02-20
