user_id,session_id,event,timestamp,device,traffic_source,country,product_id,price,quantity,revenue
884,sess_808836,signup,10-01-2024 00:00,Mobile,,India,P1,500,3,0
24,sess_795656,signup,01-03-2024 00:00,web,organic,Germany,P2,1200,3,0
1426,sess_509334,view_product,14-01-2024 00:04,,,USA,P2,1200,2,0
624,sess_474444,signup,,,organic,U.S.A,P2,1200,2,0
962,sess_730105,add_to_cart,04-02-2024 00:14,WEB,referral,UK,P2,1200,2,0
833,sess_972139,view_product,28-02-2024 00:12,Mobile,referral,Germany,,1200,1,0
1436,sess_981344,drop_off,18-01-2024 00:05,web,,U.S.A,,,,0
427,sess_844779,view_product,31-01-2024 00:07,Mobile,organic,U.S.A,P2,1200,3,0
549,sess_887685,add_to_cart,03-02-2024 00:12,mobile,ads,U.S.A,P3,300,3,0
106,sess_830228,signup,23-01-2024 00:00,,,UK,P2,,3,0
1107,sess_933630,signup,27-01-2024 00:00,Mobile,referral,Germany,P3,300,2,0
1216,sess_765532,add_to_cart,10-02-2024 00:25,,organic,,P2,1200,3,0
157,sess_845133,add_to_cart,21-01-2024 00:12,Mobile,ads,India,P1,500,2,0
1248,sess_501087,add_to_cart,20-02-2024 00:27,web,ads,india,P3,300,1,0
337,sess_138347,signup,27-01-2024 00:00,WEB,referral,UK,P3,300,2,0
1188,sess_719528,drop_off,03-03-2024 00:05,web,referral,Germany,,,,0
709,sess_389201,signup,11-03-2024 00:00,web,organic,UK,P3,300,1,0
1036,sess_931388,signup,10-02-2024 00:00,web,referral,india,P3,300,2,0
1214,sess_883436,add_to_cart,31-01-2024 00:19,Mobile,organic,Germany,P3,300,3,0
584,sess_339816,drop_off,20-02-2024 00:05,WEB,ads,,,,,0
1200,sess_416663,signup,12-03-2024 00:00,WEB,organic,U.S.A,P1,500,1,0
950,sess_276081,signup,25-02-2024 00:00,web,,india,P2,1200,1,0
6,sess_882115,drop_off,18-02-2024 00:05,WEB,ads,india,,,,0
904,sess_499667,signup,25-02-2024 00:00,mobile,,UK,P3,300,3,0
726,sess_972876,view_product,06-02-2024 00:14,WEB,organic,UK,P1,500,1,0
153,sess_755479,purchase,29-02-2024 00:24,WEB,organic,UK,P3,300,1,300
889,sess_972445,signup,22-01-2024 00:00,web,organic,,P3,300,1,0
398,sess_399138,view_product,12-02-2024 00:15,web,,India,P1,500,2,0
825,sess_402878,view_product,03-03-2024 00:12,Mobile,,india,,1200,1,0
1071,sess_600102,signup,19-02-2024 00:00,,organic,U.S.A,P2,1200,1,0
628,sess_819209,drop_off,12-03-2024 00:08,,,,,,,0
398,sess_605248,signup,21-02-2024 00:00,Mobile,organic,India,P2,1200,3,0
1413,sess_133300,view_product,03-03-2024 00:08,,organic,U.S.A,,300,2,0
1019,sess_244392,signup,30-01-2024 00:00,,referral,Germany,P1,500,3,0
812,sess_458492,view_product,18-02-2024 00:13,,organic,,P3,300,1,0
813,sess_121915,view_product,19-02-2024 00:07,WEB,ads,USA,P2,1200,1,0
310,sess_662793,drop_off,16-03-2024 00:24,,,UK,,,,0
280,sess_783043,drop_off,04-03-2024 00:05,Mobile,referral,Germany,,,,0
421,sess_133074,add_to_cart,18-02-2024 00:06,web,organic,,P3,300,1,0
788,sess_772395,purchase,14-03-2024 00:31,mobile,ads,India,P2,1200,1,1200
410,sess_239872,signup,17-03-2024 00:00,Mobile,ads,USA,P3,300,1,0
1012,sess_148089,signup,07-02-2024 00:00,,referral,U.S.A,P3,300,1,0
174,sess_824603,drop_off,,Mobile,,USA,,,,0
839,sess_873767,view_product,31-01-2024 00:03,WEB,ads,india,P3,300,3,0
1182,sess_103082,drop_off,18-02-2024 00:08,mobile,organic,India,,,,0
1024,sess_271525,add_to_cart,20-01-2024 00:19,WEB,,India,P1,500,1,0
690,sess_795052,view_product,23-01-2024 00:06,mobile,,U.S.A,P2,1200,1,0
438,sess_267894,view_product,22-03-2024 00:04,,ads,,P2,-1200,1,0
4,sess_170273,signup,08-02-2024 00:00,,organic,india,P1,500,2,0
18,sess_250495,signup,28-01-2024 00:00,Mobile,ads,U.S.A,,300,3,0
780,sess_224735,drop_off,02-02-2024 00:08,WEB,referral,,,,,0
330,sess_409663,view_product,10-02-2024 00:11,WEB,ads,Germany,P2,1200,1,0
536,sess_451885,drop_off,11-02-2024 00:10,mobile,,Germany,,,,0
431,sess_155808,add_to_cart,03-02-2024 00:22,web,,UK,P2,1200,2,0
1407,sess_476498,view_product,19-02-2024 00:05,,,UK,P3,300,1,0
1211,sess_990740,add_to_cart,24-02-2024 00:25,WEB,ads,Germany,P2,1200,2,0
1380,sess_870027,view_product,29-01-2024 00:11,Mobile,referral,UK,P1,500,2,0
1495,sess_236489,view_product,30-01-2024 00:11,Mobile,ads,india,P1,500,1,0
738,sess_400099,drop_off,06-03-2024 00:12,web,ads,Germany,,,,0
1117,sess_778350,add_to_cart,08-02-2024 00:16,WEB,,,P1,500,2,0
1035,sess_578348,add_to_cart,14-03-2024 00:14,WEB,referral,U.S.A,P2,1200,3,0
198,sess_611425,purchase,19-03-2024 00:23,web,,india,P1,500,1,500
562,sess_551654,signup,05-02-2024 00:00,mobile,ads,UK,P3,300,3,0
436,sess_669053,signup,06-03-2024 00:00,mobile,referral,Germany,P3,300,3,0
780,sess_123243,signup,03-01-2024 00:00,Mobile,,,P1,500,3,0
1373,sess_271663,drop_off,15-03-2024 00:18,Mobile,,UK,,,,0
1156,sess_130387,drop_off,25-02-2024 00:18,,ads,India,,,,0
601,sess_841596,signup,05-02-2024 00:00,WEB,ads,UK,P3,300,1,0
733,sess_379555,drop_off,27-01-2024 00:07,Mobile,organic,,,,,0
452,sess_761195,view_product,12-03-2024 00:08,,organic,Germany,P3,300,3,0
305,sess_797264,drop_off,02-03-2024 00:29,,referral,india,,,,0
24,sess_432287,drop_off,21-02-2024 00:05,WEB,organic,Germany,,,,0
837,sess_659756,view_product,23-02-2024 00:03,WEB,ads,India,P3,300,3,0
831,sess_652385,signup,01-01-2035 00:00,Mobile,organic,,P2,-1200,3,0
343,sess_203695,add_to_cart,07-02-2024 00:21,web,referral,India,P1,500,1,0
1297,sess_717946,signup,20-02-2024 00:00,Mobile,organic,,P2,1200,1,0
1382,sess_974076,purchase,24-02-2024 00:34,Mobile,,UK,P3,-300,1,-300
1180,sess_458928,add_to_cart,10-03-2024 00:04,Mobile,ads,USA,P3,-300,2,0
433,sess_500033,drop_off,10-02-2024 00:23,mobile,ads,Germany,,,,0
723,sess_431925,drop_off,19-02-2024 00:19,,,USA,,,,0
347,sess_216868,signup,12-02-2024 00:00,Mobile,ads,india,P3,300,1,0
1167,sess_307074,add_to_cart,25-01-2024 00:22,,organic,USA,P1,500,2,0
405,sess_334884,add_to_cart,11-02-2024 00:19,WEB,referral,UK,P1,500,1,0
698,sess_132278,signup,14-02-2024 00:00,,ads,U.S.A,P2,1200,1,0
1169,sess_949500,signup,15-01-2024 00:00,,referral,India,P1,500,1,0
1435,sess_556491,signup,23-02-2024 00:00,Mobile,,Germany,P3,300,2,0
46,sess_343198,signup,18-02-2024 00:00,WEB,,India,P3,300,3,0
861,sess_121253,view_product,20-02-2024 00:07,web,ads,U.S.A,P3,300,1,0
806,sess_714878,add_to_cart,13-01-2024 00:24,,,USA,P3,300,1,0
982,sess_348909,view_product,01-01-2035 00:00,web,referral,India,P3,,1,0
1084,sess_180882,drop_off,13-02-2024 00:05,web,referral,USA,,,,0
533,sess_517257,drop_off,07-01-2024 00:17,web,referral,USA,,,,0
1454,sess_190338,signup,19-02-2024 00:00,web,ads,UK,P3,300,3,0
332,sess_382903,view_product,03-02-2024 00:04,web,organic,Germany,P3,,3,0
890,sess_730824,drop_off,25-02-2024 00:05,,,India,,,,0
1392,sess_717881,purchase,,WEB,referral,USA,P2,1200,1,1200
886,sess_511695,purchase,07-02-2024 00:28,mobile,ads,USA,P2,,2,2400
458,sess_869998,drop_off,17-01-2024 00:05,,organic,india,,,,0
612,sess_934728,signup,18-01-2024 00:00,,ads,india,P1,500,2,0
76,sess_851630,signup,21-03-2024 00:00,,,U.S.A,P1,500,2,0
948,sess_690938,signup,17-02-2024 00:00,mobile,,,P3,300,1,0
735,sess_337930,purchase,,WEB,organic,USA,P2,1200,2,2400
1326,sess_561772,purchase,02-03-2024 00:31,mobile,referral,India,P1,500,2,1000
42,sess_482905,drop_off,10-02-2024 00:05,,organic,india,,,,0
1139,sess_293655,add_to_cart,07-03-2024 00:17,WEB,ads,,P3,300,2,0
